Source,Target,in_reply_to_statusID,tweet_ID,text,isRetweet,retweet_count,followers_count,friends_count,mentioned_users
Peter Haslebacher,LahorJakrlin,939958072331718659,939963611363069952,@LahorJakrlin @naehdrescherin Werden wir sehen. Zusätzlich aber noch dies. Kennen Sie und ist Ihnen egal?… https://t.co/rFNTrVEzOA,False,0,89,234, 809005381 LahorJakrlin Lahor Jakrlin-49996637 naehdrescherin Zora Debrunner ✂-
Ugugu,@UrsLeuthard,None,939963591326863367,RT @UrsLeuthard: Bleiben wir doch in der NoBillag-Diskussion bei den Fakten  lieber @tagesanzeiger und lieber @gewerbeverband. 75% aller KM…,True,63,3690,2835, 634577560 UrsLeuthard Urs Leuthard-202985146 tagesanzeiger Tages-Anzeiger-262715220 gewerbeverband sgv-usam-
Geram,@pascalkesseli,None,939963111393644551,"RT @pascalkesseli: Wer sagt  ohne SRF-Zwangsabo könnten Schweizer nicht informiert abstimmen, hat eine unrealistisch hohe Meinung vom SRF u…",True,22,182,165, 240646297 pascalkesseli Pascal Kesseli-
(((Friedrich))),@pascalkesseli,None,939961824472117248,"RT @pascalkesseli: Wer sagt  ohne SRF-Zwangsabo könnten Schweizer nicht informiert abstimmen, hat eine unrealistisch hohe Meinung vom SRF u…",True,22,206,144, 240646297 pascalkesseli Pascal Kesseli-
privat unterwegs🤫,@pascalkesseli,None,939961824233050112,"RT @pascalkesseli: Wer sagt  ohne SRF-Zwangsabo könnten Schweizer nicht informiert abstimmen, hat eine unrealistisch hohe Meinung vom SRF u…",True,22,104,143, 240646297 pascalkesseli Pascal Kesseli-
Christoph Burkart,juergvollmer,939887692581662720,939961700136218625,@juergvollmer @shoksuno @pascalkesseli @NoBillag @SRGSSR zu ihrer info: ich bin auch nicht bereit 600.- für eine regionalzeitung zu zahlen,False,0,85,490, 592470968 juergvollmer Jürg Vollmer-976677866 shoksuno Shoks-240646297 pascalkesseli Pascal Kesseli-1383737941 NoBillag No Billag!-1871613643 SRGSSR SRG SSR-
Patrick Eugster,@MaurusZeier,None,939961201970286592,RT @MaurusZeier: Ehemaliger Nationalratspräsident und @CVP_PDC @cvpluzern Nationalrat Ruedi Lustenberger unterstützt @NoBillag. @LuzernerZe…,True,27,664,771, 131777731 MaurusZeier Maurus Zeier-172375021 CVP_PDC CVP PDC PPD PCD-9569812 cvpluzern CVP Kanton Luzern-1383737941 NoBillag No Billag!-
Peter Voegele,@David_Stampfli,None,939960624980873216,"RT @David_Stampfli: Da weiss man echt nicht mehr  ob man lachen oder weinen soll...  #NEINzuNoBillag #NEINzuNoSRG #NoBillag
via @RuediWidme…",True,8,25,78, 115449079 David_Stampfli David Stampfli-
Hayek Club Zürich,@MaurusZeier,None,939960408093413376,RT @MaurusZeier: Ehemaliger Nationalratspräsident und @CVP_PDC @cvpluzern Nationalrat Ruedi Lustenberger unterstützt @NoBillag. @LuzernerZe…,True,27,1362,1330, 131777731 MaurusZeier Maurus Zeier-172375021 CVP_PDC CVP PDC PPD PCD-9569812 cvpluzern CVP Kanton Luzern-1383737941 NoBillag No Billag!-
Toni Halter,@pascalkesseli,None,939960089863221248,"RT @pascalkesseli: Wer sagt  ohne SRF-Zwangsabo könnten Schweizer nicht informiert abstimmen, hat eine unrealistisch hohe Meinung vom SRF u…",True,22,113,103, 240646297 pascalkesseli Pascal Kesseli-
